Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc), Year
36,May 6,@,MIL,"W,7-5",40,36,7,10,2,0,3,7,3,0,6,0,1,0,0,0,1,0,.249,.304,.379,.683,6,14,R,M.Estrada (50),2014
37,May 7,@,MIL,"W,3-2",43,41,3,14,2,0,1,2,1,0,7,0,1,0,1,0,1,0,.252,.305,.382,.687,13,12,R,W.Peralta (45),2014
38,May 9,@,CHW,"L,3-9",35,33,3,4,1,0,1,3,2,0,5,0,0,0,2,0,1,0,.249,.302,.378,.680,5,9,R,A.Rienzo (50),2014
39,May 10,@,CHW,"W,4-3",39,35,4,12,3,1,0,4,3,1,5,0,0,1,0,2,1,0,.251,.304,.381,.685,8,11,L,J.Quintana (50),2014
40,May 11,@,CHW,"W,5-1",42,36,5,10,1,1,2,5,5,1,8,1,0,0,1,2,3,0,.252,.306,.385,.691,10,10,R,H.Noesi (45),2014
41,May 12,,WSN,"L,5-6",38,38,5,13,6,0,1,5,0,0,7,0,0,0,0,2,0,0,.254,.307,.390,.697,6,15,R,J.Zimmermann (33),2014
42,May 13,,WSN,"W,3-1",32,32,3,8,2,0,0,3,0,0,7,0,0,0,0,0,0,0,.254,.306,.388,.694,5,10,R,S.Strasburg (55),2014
43,May 14,,WSN,"L,1-5",32,31,1,6,0,0,1,1,0,0,8,1,0,0,1,2,0,1,.253,.304,.386,.691,4,12,R,D.Fister (69),2014
44,May 16,,LAD,"L,0-7",32,29,0,5,0,0,0,0,3,0,8,0,0,0,0,3,0,0,.251,.303,.382,.686,5,12,R,Z.Greinke (76),2014
45,May 17,,LAD,"W,18-7",50,43,18,21,5,3,5,18,6,0,9,0,1,0,0,1,2,0,.258,.310,.402,.712,8,16,L,C.Kershaw (16),2014
46,May 18,,LAD,"W,5-3",35,35,5,11,2,0,2,4,0,0,4,0,0,0,0,0,2,0,.259,.311,.405,.715,6,16,R,D.Haren (37),2014
47,May 20,@,STL,"L,0-5",28,28,0,1,1,0,0,0,0,0,9,0,0,0,0,0,0,0,.255,.306,.399,.705,1,11,R,A.Wainwright (94),2014
48,May 21,@,STL,"L,2-3",46,42,2,7,1,0,1,2,4,0,7,0,0,0,1,0,0,1,.253,.304,.396,.700,8,18,R,M.Wacha (69),2014
49,May 22,@,STL,"L,2-4",36,34,2,8,1,0,0,2,1,0,9,0,0,1,0,0,0,0,.253,.303,.393,.696,7,12,R,L.Lynn (55),2014
50,May 24,@,NYM,"W,3-2",38,32,3,6,1,0,0,3,2,0,9,2,2,0,1,0,0,0,.251,.303,.390,.693,8,15,R,Z.Wheeler (58),2014
51,May 25 (1),@,NYM,"W,2-1",39,32,2,5,3,0,1,1,6,2,13,0,1,0,0,0,0,0,.250,.303,.389,.692,10,15,R,R.Montero (71),2014
52,May 25 (2),@,NYM,"L,2-4",35,33,2,5,1,1,0,2,1,0,7,1,0,0,1,0,1,0,.248,.301,.386,.687,6,15,R,D.Matsuzaka (63),2014
53,May 26,,SDP,"W,7-5",37,35,7,10,1,0,1,6,1,0,8,1,0,0,0,1,0,0,.249,.301,.387,.688,4,14,R,T.Ross (35),2014
54,May 27,,SDP,"L,3-4",38,31,3,6,2,0,1,3,5,1,4,0,1,0,0,1,1,0,.248,.301,.386,.687,8,14,L,E.Stults (47),2014
